abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;;;;NOVASPIN;GUMENTIN;;;;Anacin Extra;;;;;;;;;;;;;;;;;;;;;;Sekiel;;;;;;;;;;;;;;;;;;;;;;;;;;;XOGEL ADULTE GINGIVAL;;;;;;;;;;;;;;;;;;;;;;;Despec PD;;;;;;;;;;;;;;Tramadol-Acet;;;;;;;;
;;;;NOVCAPINE;HUONS AMOXICILLIN;;;;Aspirin Arthritis Pain Relief;;;;;;;;;;;;;;;;;;;;;;Coughcode;;;;;;;;;;;;;;;;;;;;;;;;;;;AFTAGEL;;;;;;;;;;;;;;;;;;;;;;;M-End PE;;;;;;;;;;;;;;ACETRAM;;;;;;;;
;;;;OLVICA;ACICLA NEO;;;;Aspirin Backache;;;;;;;;;;;;;;;;;;;;;;The Itch Eraser;;;;;;;;;;;;;;;;;;;;;;;;;;;ANGI-SPRAY MAUX DE GORGE CHLORHEXIDINE;;;;;;;;;;;;;;;;;;;;;;;MINTUSS HC Reformulated Feb 2009;;;;;;;;;;;;;;DOUBLESET SEMI;;;;;;;;
;;;;PRETWIN;AMICLLAN;;;;Aspirin Coated Delayed Release Extra Strength;;;;;;;;;;;;;;;;;;;;;;Tainuoan;;;;;;;;;;;;;;;;;;;;;;;;;;;TITANOREINE;;;;;;;;;;;;;;;;;;;;;;;Biotuss Pediatric;;;;;;;;;;;;;;KYTRAM;;;;;;;;
;;;;PRIDIPINE;AMOCITIN;;;;Aspirin Coated Delayed Release Regular Strength;;;;;;;;;;;;;;;;;;;;;;R Calm;;;;;;;;;;;;;;;;;;;;;;;;;;;LIDOCAINE AGUETTANT;;;;;;;;;;;;;;;;;;;;;;;Crantex ER;;;;;;;;;;;;;;MULTICET;;;;;;;;
;;;;SINNORVAPIN;AMOXCL;;;;Aspirin Rapid Relief;;;;;;;;;;;;;;;;;;;;;;Azicalm;;;;;;;;;;;;;;;;;;;;;;;;;;;POST-PENGHA;;;;;;;;;;;;;;;;;;;;;;;Phenavent D;;;;;;;;;;;;;;NEWTRAM;;;;;;;;
;;;;STARDIPINE;AMOXIDAL DUO;;;;Aspirin Stomach Guard Extra Strength;;;;;;;;;;;;;;;;;;;;;;Trihistalex;;;;;;;;;;;;;;;;;;;;;;;;;;;PULPERYL;;;;;;;;;;;;;;;;;;;;;;;Guiafen II DM;;;;;;;;;;;;;;POTENDOL;;;;;;;;
;;;;TELASTAR;ANYCLA NEO;;;;Asasantine;;;;;;;;;;;;;;;;;;;;;;Noradran Bronchial;;;;;;;;;;;;;;;;;;;;;;;;;;;ZIAGEL ADULTE;;;;;;;;;;;;;;;;;;;;;;;Ryna-12X;;;;;;;;;;;;;;RAMADO;;;;;;;;
;;;;TELMIDIPINE;AUCLATIN;;;;Asatab;;;;;;;;;;;;;;;;;;;;;;Theraflu Warming Relief;;;;;;;;;;;;;;;;;;;;;;;;;;;Antiseptic Plus;;;;;;;;;;;;;;;;;;;;;;;Sina-12X;;;;;;;;;;;;;;RATCET;;;;;;;;
;;;;URODIPINE;CJ AMOCOMBI DUO;;;;C2 Buffered;;;;;;;;;;;;;;;;;;;;;;Wal-Flu Severe Cold and Cough;;;;;;;;;;;;;;;;;;;;;;;;;;;Dermasoothe;;;;;;;;;;;;;;;;;;;;;;;Viravan S;;;;;;;;;;;;;;RATCET MINI;;;;;;;;
;;;;AMLODIPINE ARROW;CLAMAX;;;;Extra Strength Midol;;;;;;;;;;;;;;;;;;;;;;Compoz;;;;;;;;;;;;;;;;;;;;;;;;;;;Lignocaine Hydrochloride Min-I-Jet;;;;;;;;;;;;;;;;;;;;;;;Sudafed PE Non-Drying Sinus;;;;;;;;;;;;;;STRONGCET SEMI;;;;;;;;
;;;;AMLODIPINE EG;CLAMONEX;;;;Coryphen;;;;;;;;;;;;;;;;;;;;;;Percogesic Reformulated Jan 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;Lignocaine Pfizer;;;;;;;;;;;;;;;;;;;;;;;Hydrocodone CP;;;;;;;;;;;;;;ULTRON;;;;;;;;
;;;;AMLODIPINE PHR LAB;CLAOXIN NEO;;;;Novasen;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl;;;;;;;;;;;;;;;;;;;;;;;;;;;Lignocaine With Chlorhexidine Gluconate Pfizer;;;;;;;;;;;;;;;;;;;;;;;Hydrocodone HD;;;;;;;;;;;;;;ULTRON SEMI;;;;;;;;
;;;;AMLODIPINE RATIOPHARM;CRAMOTIN;;;;Muscle Relaxant And Back Pain Relief Extra Strength;;;;;;;;;;;;;;;;;;;;;;Calohist;;;;;;;;;;;;;;;;;;;;;;;;;;;Lmx Topical Anaesthetic;;;;;;;;;;;;;;;;;;;;;;;Sinucon;;;;;;;;;;;;;;YUYU ACETRAMA SEMI;;;;;;;;
;;;;AMLODIPINE TEVA;KYMOXIN;;;;Lowprin;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl Allergy;;;;;;;;;;;;;;;;;;;;;;;;;;;Sm-33;;;;;;;;;;;;;;;;;;;;;;;Tussar DM;;;;;;;;;;;;;;ZETRAPEN;;;;;;;;
;;;;AMLODIPINE ZYDUS;LACTAMOX NEO;;;;Lo-Asa;;;;;;;;;;;;;;;;;;;;;;Benekraft;;;;;;;;;;;;;;;;;;;;;;;;;;;LidoPro;;;;;;;;;;;;;;;;;;;;;;;Ah-Chew;;;;;;;;;;;;;;ZIPAN PLUS SEMI;;;;;;;;
;;;;Amlotrust;LAMOCRIN DUO;;;;M-Asa Croquable;;;;;;;;;;;;;;;;;;;;;;Counteract Night;;;;;;;;;;;;;;;;;;;;;;;;;;;Neuromed;;;;;;;;;;;;;;;;;;;;;;;Atuss DM;;;;;;;;;;;;;;Zydol SR;;;;;;;;
;;;;Deflectum;MAXICLAN DUO;;;;Pronal;;;;;;;;;;;;;;;;;;;;;;Acetadryl;;;;;;;;;;;;;;;;;;;;;;;;;;;Depulpin;;;;;;;;;;;;;;;;;;;;;;;Atuss HD;;;;;;;;;;;;;;Zamadol;;;;;;;;
;;;;Dynoval;PENIMENTIN;;;;Phenaphen No 4;;;;;;;;;;;;;;;;;;;;;;Rx-Act Flu & Severe Cold & Cough;;;;;;;;;;;;;;;;;;;;;;;;;;;Dexaflam;;;;;;;;;;;;;;;;;;;;;;;Bromophen TD;;;;;;;;;;;;;;Zamadol SR;;;;;;;;
;;;;Perivasc;KLAVON;;;;Tri-Buffered Asa;;;;;;;;;;;;;;;;;;;;;;Lunox;;;;;;;;;;;;;;;;;;;;;;;;;;;Dona;;;;;;;;;;;;;;;;;;;;;;;Chemdal;;;;;;;;;;;;;;Ultram;;;;;;;;
;;;;Tekamlo;KMOXILIN;;;;Togal Kopfschm;;;;;;;;;;;;;;;;;;;;;;Boxocalm;;;;;;;;;;;;;;;;;;;;;;;;;;;Jelliproct;;;;;;;;;;;;;;;;;;;;;;;Coldloc;;;;;;;;;;;;;;Zamadol Melt;;;;;;;;
;;;;Tribenzor;LACTAMOX DUO;;;;Arthriten Max;;;;;;;;;;;;;;;;;;;;;;Diphenhydramin Fair Med;;;;;;;;;;;;;;;;;;;;;;;;;;;Gelicain;;;;;;;;;;;;;;;;;;;;;;;Omnihist;;;;;;;;;;;;;;Tramacet;;;;;;;;
;;;;Twynsta;LIUMOX DUO;;;;CLOPIO-A;;;;;;;;;;;;;;;;;;;;;;Diabenyl;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidocain Roth;;;;;;;;;;;;;;;;;;;;;;;Cerose-DM;;;;;;;;;;;;;;Maneo;;;;;;;;
;;;;Amlodipin(Besilat) Al;MARTINE;;;;CLASPIN;;;;;;;;;;;;;;;;;;;;;;Dentigoa;;;;;;;;;;;;;;;;;;;;;;;;;;;Otalgan;;;;;;;;;;;;;;;;;;;;;;;Codimal PH;;;;;;;;;;;;;;Dromadol;;;;;;;;
;;;;Amlodipin-Corax;MEDICLA DUO;;;;DANARIX;;;;;;;;;;;;;;;;;;;;;;Dormigoa;;;;;;;;;;;;;;;;;;;;;;;;;;;Xylocitin-Loc;;;;;;;;;;;;;;;;;;;;;;;Cyclomydril;;;;;;;;;;;;;;Tradorec XL;;;;;;;;
;;;;Amlodipin Awd;NEOCRA DUO;;;;PABAXIN;;;;;;;;;;;;;;;;;;;;;;Dormo;;;;;;;;;;;;;;;;;;;;;;;;;;;Toxavit;;;;;;;;;;;;;;;;;;;;;;;Dimetane Decongestant;;;;;;;;;;;;;;Tramquel SR;;;;;;;;
;;;;Amlodipin Q-Pharm;OMECLA DUO;;;;Excedrin Back & Body;;;;;;;;;;;;;;;;;;;;;;Emesan;;;;;;;;;;;;;;;;;;;;;;;;;;;Socketol;;;;;;;;;;;;;;;;;;;;;;;Donatussin;;;;;;;;;;;;;;Onetram;;;;;;;;
;;;;Flutensif;AMOBACIL;;;;postMI;;;;;;;;;;;;;;;;;;;;;;Lomapect;;;;;;;;;;;;;;;;;;;;;;;;;;;Antibiotic Cream Plus Pain Relief Kids;;;;;;;;;;;;;;;;;;;;;;;Duratex;;;;;;;;;;;;;;TRAMADOL/PARACETAMOL BIPHAR;;;;;;;;
;;;;Lizam;AMOXCLAN;;;;Percodan;;;;;;;;;;;;;;;;;;;;;;Meta Attritin;;;;;;;;;;;;;;;;;;;;;;;;;;;Antibiotic Plus Pain Relief;;;;;;;;;;;;;;;;;;;;;;;Vasosulf;;;;;;;;;;;;;;SKUDEXUM;;;;;;;;
;;;;Lidorat;AMOXICLA;;;;Alka-Seltzer;;;;;;;;;;;;;;;;;;;;;;Medapur;;;;;;;;;;;;;;;;;;;;;;;;;;;Caribbean Breeze;;;;;;;;;;;;;;;;;;;;;;;Efasin;;;;;;;;;;;;;;Yutong;;;;;;;;
;;;;Normopress;AMOXIS;;;;Farbital;;;;;;;;;;;;;;;;;;;;;;Palacril;;;;;;;;;;;;;;;;;;;;;;;;;;;Footworks Healthy;;;;;;;;;;;;;;;;;;;;;;;Emagrin Forte;;;;;;;;;;;;;;Timaer;;;;;;;;
;;;;Vocado;AUCLAN;;;;Empirin;;;;;;;;;;;;;;;;;;;;;;Roewo;;;;;;;;;;;;;;;;;;;;;;;;;;;Emla Patch;;;;;;;;;;;;;;;;;;;;;;;ENDAL HD PLUS;;;;;;;;;;;;;;Qizhi;;;;;;;;
;;;;Viacoram;AUGUCLA;;;;Miniprin;;;;;;;;;;;;;;;;;;;;;;Schlafetten Wepa;;;;;;;;;;;;;;;;;;;;;;;;;;;Complete;;;;;;;;;;;;;;;;;;;;;;;Hista-Vent DA;;;;;;;;;;;;;;Fengtongding;;;;;;;;
;;;;Apo-Amlodipine-Atorvastatin;AUGUTIN;;;;Anadin All-Night;;;;;;;;;;;;;;;;;;;;;;Sekundal;;;;;;;;;;;;;;;;;;;;;;;;;;;No-Ad Aloe Vera Gel Pure;;;;;;;;;;;;;;;;;;;;;;;Despec-SF;;;;;;;;;;;;;;Bingning;;;;;;;;
;;;;Bio-Amlodipine;AUMENTIN DUO;;;;Aspro Clear Maximum Strength;;;;;;;;;;;;;;;;;;;;;;Vivinox Sleep;;;;;;;;;;;;;;;;;;;;;;;;;;;Myelogram Tray;;;;;;;;;;;;;;;;;;;;;;;Hydrophene DH;;;;;;;;;;;;;;Maidaomalong;;;;;;;;
;;;;Mint-Amlodipine;CLACILLIN-DUO;;;;Anacin;;;;;;;;;;;;;;;;;;;;;;Verlapyrin;;;;;;;;;;;;;;;;;;;;;;;;;;;Jampocaine;;;;;;;;;;;;;;;;;;;;;;;Hyphen-HD;;;;;;;;;;;;;;Quming;;;;;;;;
;;;;Riva Amlodipine;ZAKUTEX;;;;Aspir-Mox;;;;;;;;;;;;;;;;;;;;;;Vanamine;;;;;;;;;;;;;;;;;;;;;;;;;;;Pre-Wax Pain Relief;;;;;;;;;;;;;;;;;;;;;;;Alacol;;;;;;;;;;;;;;Leshipukang;;;;;;;;
;;;;Phl-Amlodipine;MYUNGMOON AMOCLAN;;;;Bayer Aspirin;;;;;;;;;;;;;;;;;;;;;;Zzzquil;;;;;;;;;;;;;;;;;;;;;;;;;;;Res-Q Analgesic Pain Relief Spray;;;;;;;;;;;;;;;;;;;;;;;KG-Dal HD;;;;;;;;;;;;;;Algotra;;;;;;;;
;;;;Biramlo;NECMOCLEAN NEO;;;;Damason-P;;;;;;;;;;;;;;;;;;;;;;Sebrx;;;;;;;;;;;;;;;;;;;;;;;;;;;Safetec Burn Gel;;;;;;;;;;;;;;;;;;;;;;;Ricobid;;;;;;;;;;;;;;Rybix;;;;;;;;
;;;;Ramidipin;NEUPIRON;;;;Empirin with Codeine;;;;;;;;;;;;;;;;;;;;;;Tact Cream;;;;;;;;;;;;;;;;;;;;;;;;;;;Safetec Burn Spray;;;;;;;;;;;;;;;;;;;;;;;Liquibid-D;;;;;;;;;;;;;;Jutadol;;;;;;;;
;;;;Prestalia;OMECLE DUO;;;;Talwin Compound;;;;;;;;;;;;;;;;;;;;;;Robitussin Night Time Cough and Cold;;;;;;;;;;;;;;;;;;;;;;;;;;;Polyderm Antibiotic;;;;;;;;;;;;;;;;;;;;;;;Maxiphen;;;;;;;;;;;;;;Tramagetic;;;;;;;;
;;;;Amlodipine / Valsartan EG;TDCLA;;;;Entercote;;;;;;;;;;;;;;;;;;;;;;Vetadryl;;;;;;;;;;;;;;;;;;;;;;;;;;;Polysporin Kids;;;;;;;;;;;;;;;;;;;;;;;Albatussin PE;;;;;;;;;;;;;;Tramadol Gruenenthal;;;;;;;;
;;;;Amlodipine / Valsartan Sandoz;AMOXICILLINE ACIDE CLAVULANIQUE PANPHARMA;;;;Fiortal;;;;;;;;;;;;;;;;;;;;;;Mucinex Sinus-Max Night;;;;;;;;;;;;;;;;;;;;;;;;;;;Pharmassist Soothenel Gel;;;;;;;;;;;;;;;;;;;;;;;Sitrex;;;;;;;;;;;;;;Tramadol Pb;;;;;;;;
;;;;Viacorind;AMOXICILLINE ARROW;;;;Fiortal with Codeine;;;;;;;;;;;;;;;;;;;;;;Wal-Sleep Z;;;;;;;;;;;;;;;;;;;;;;;;;;;Pleura-Seal;;;;;;;;;;;;;;;;;;;;;;;M-Phen;;;;;;;;;;;;;;Tramadol Q;;;;;;;;
;;;;ABIPRE;AMOXICILLINE CRISTERS;;;;Gennin-FC;;;;;;;;;;;;;;;;;;;;;;Difenacol;;;;;;;;;;;;;;;;;;;;;;;;;;;Otizol Hc;;;;;;;;;;;;;;;;;;;;;;;Ricotuss D;;;;;;;;;;;;;;Tramadol Rotexmedica;;;;;;;;
;;;;E-DUET;AMOXICILLINE QUALIMED;;;;Isollyl;;;;;;;;;;;;;;;;;;;;;;Paedamin Children'S Decongestant And Antihistamine;;;;;;;;;;;;;;;;;;;;;;;;;;;Trianal;;;;;;;;;;;;;;;;;;;;;;;Maxi-Tuss SA;;;;;;;;;;;;;;Tramadol Temmler;;;;;;;;
;;;;I-DIPIN;AMOXICILLINE ZENTIVA;;;;Propoxyphene Compound 65;;;;;;;;;;;;;;;;;;;;;;Sleep Aid;;;;;;;;;;;;;;;;;;;;;;;;;;;Unburn-Gel;;;;;;;;;;;;;;;;;;;;;;;Brovex D;;;;;;;;;;;;;;Tradol Puren;;;;;;;;
;;;;ALOSARTAN;AMOXICILLINE/ACIDE CLAVULANIQUE ZYDUS;;;;Ridiprin;;;;;;;;;;;;;;;;;;;;;;Allegra Cooling Relief Anti-Itch;;;;;;;;;;;;;;;;;;;;;;;;;;;Stallion;;;;;;;;;;;;;;;;;;;;;;;Duonate 12 Pediatric;;;;;;;;;;;;;;Trama Basf;;;;;;;;
;;;;AMBASARTAN;Amclav;;;;Roxiprin;;;;;;;;;;;;;;;;;;;;;;Delsym Children's Nighttime Cough and Cold Reformulated Apr 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;Comfortcaine;;;;;;;;;;;;;;;;;;;;;;;Ry-T-12;;;;;;;;;;;;;;Trama Dorsch;;;;;;;;
;;;;AMLOMESYL;Alphaclav Duo;;;;Laboprin;;;;;;;;;;;;;;;;;;;;;;Mucinex Fast-Max Night Time Cold and Flu;;;;;;;;;;;;;;;;;;;;;;;;;;;Glydo;;;;;;;;;;;;;;;;;;;;;;;Trituss A;;;;;;;;;;;;;;Tramadol 1a Pharma;;;;;;;;
;;;;AMLO S;Bgramin;;;;Levius;;;;;;;;;;;;;;;;;;;;;;Diphenhydramin-Hevert;;;;;;;;;;;;;;;;;;;;;;;;;;;RadiaGuard;;;;;;;;;;;;;;;;;;;;;;;Dmax Pediatric;;;;;;;;;;;;;;ATRACOOL;;;;;;;;
;;;;AMOLVIKA HCT;Maxamox;;;;Orphengesic;;;;;;;;;;;;;;;;;;;;;;Dormiagil;;;;;;;;;;;;;;;;;;;;;;;;;;;LidoPro Patch;;;;;;;;;;;;;;;;;;;;;;;Trital DM;;;;;;;;;;;;;;ACERANO SEMI;;;;;;;;
;;;;AMOSTATIN;Moxacin;;;;Platet;;;;;;;;;;;;;;;;;;;;;;Schlaf Tabletten Sisadorm;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidotran;;;;;;;;;;;;;;;;;;;;;;;Giltuss;;;;;;;;;;;;;;ELIFEN SEMI;;;;;;;;
;;;;AROPIN;Amoxicillin Dura;;;;Heartline;;;;;;;;;;;;;;;;;;;;;;S 8;;;;;;;;;;;;;;;;;;;;;;;;;;;Theranal;;;;;;;;;;;;;;;;;;;;;;;Myci;;;;;;;;;;;;;;LANOPHEN;;;;;;;;
;;;;CADURAT;Amoxiclav-Ct;;;;Numark Extra Power Pain Reliever;;;;;;;;;;;;;;;;;;;;;;Tuttozem N;;;;;;;;;;;;;;;;;;;;;;;;;;;Trifena;;;;;;;;;;;;;;;;;;;;;;;Numonyl DX;;;;;;;;;;;;;;MEGACET SEMI;;;;;;;;
;;;;CIRCUET;Amoxidoc;;;;Aspro Cl;;;;;;;;;;;;;;;;;;;;;;Sodormwell;;;;;;;;;;;;;;;;;;;;;;;;;;;Nervoderm;;;;;;;;;;;;;;;;;;;;;;;Zotex;;;;;;;;;;;;;;ORPHEN;;;;;;;;
;;;;DAPIRO;Amoxiinfant;;;;Angettes;;;;;;;;;;;;;;;;;;;;;;Allergy Dye-Free;;;;;;;;;;;;;;;;;;;;;;;;;;;Mucosoothe;;;;;;;;;;;;;;;;;;;;;;;Dacex DM;;;;;;;;;;;;;;PENCURE;;;;;;;;
;;;;DIPINSTA;Zacpac;;;;Co-codaprin;;;;;;;;;;;;;;;;;;;;;;Benadryl Itch Stopping Gel;;;;;;;;;;;;;;;;;;;;;;;;;;;Lydexa;;;;;;;;;;;;;;;;;;;;;;;Certuss D;;;;;;;;;;;;;;SYNERJET ER SEMI;;;;;;;;
;;;;DUTADINE;Auro-Amoxicillin;;;;Contac;;;;;;;;;;;;;;;;;;;;;;Bye Bye;;;;;;;;;;;;;;;;;;;;;;;;;;;Alocane Max Strength;;;;;;;;;;;;;;;;;;;;;;;Nalex DH;;;;;;;;;;;;;;TRAMADOL HCL HUONS;;;;;;;;
;;;;ESCA;Riva Amoxicillin;;;;Enprin;;;;;;;;;;;;;;;;;;;;;;Cathejell;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidogalen;;;;;;;;;;;;;;;;;;;;;;;P-Tex;;;;;;;;;;;;;;TRAVIT SEMI;;;;;;;;
;;;;EXLOW;Phl-Amoxicillin;;;;MigraMax;;;;;;;;;;;;;;;;;;;;;;Extra Strength Neocitran Total;;;;;;;;;;;;;;;;;;;;;;;;;;;Kool-Down;;;;;;;;;;;;;;;;;;;;;;;Phentex;;;;;;;;;;;;;;UTREN SEMI;;;;;;;;
;;;;HARODIN;Nu-Amox;;;;Molita;;;;;;;;;;;;;;;;;;;;;;Extra Strength Sleep Aid;;;;;;;;;;;;;;;;;;;;;;;;;;;Lipocaine;;;;;;;;;;;;;;;;;;;;;;;Phenylhistine;;;;;;;;;;;;;;ATNOLCET SEMI;;;;;;;;
;;;;HUEBICA;Amoxiclav Beta;;;;Takelda;;;;;;;;;;;;;;;;;;;;;;Dm Plus Cough;;;;;;;;;;;;;;;;;;;;;;;;;;;Uber Numb;;;;;;;;;;;;;;;;;;;;;;;Prolex PD;;;;;;;;;;;;;;DOLMA;;;;;;;;
;;;;HUEBICA HCT;Betacillin;;;;Nitogis;;;;;;;;;;;;;;;;;;;;;;Dormax;;;;;;;;;;;;;;;;;;;;;;;;;;;Tranzarel;;;;;;;;;;;;;;;;;;;;;;;Quindal HD;;;;;;;;;;;;;;DURACET SEMI;;;;;;;;
;;;;KOSARX;Forcid;;;;Zenaspirin;;;;;;;;;;;;;;;;;;;;;;Dormiphenrime;;;;;;;;;;;;;;;;;;;;;;;;;;;Absorbine Lidocaine;;;;;;;;;;;;;;;;;;;;;;;Montephen;;;;;;;;;;;;;;HISET SEMI;;;;;;;;
;;;;LITE TELMIAMLODIPINE;Amclavox Duo;;;;Bayer Womens;;;;;;;;;;;;;;;;;;;;;;Complete One Cold And Flu Nightime Extra Strength;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidocare;;;;;;;;;;;;;;;;;;;;;;;Gentex LQ;;;;;;;;;;;;;;HYPERCET;;;;;;;;
;;;;LIVADUET;Coclavmox;;;;Lianjia;;;;;;;;;;;;;;;;;;;;;;Neocitran Extra Strength Total Cold;;;;;;;;;;;;;;;;;;;;;;;;;;;ACAINE;;;;;;;;;;;;;;;;;;;;;;;Rynatan Pediatric;;;;;;;;;;;;;;A-TRA;;;;;;;;
;;;;LOVASC;AUGMENTI-S;;;;Baiasipiling;;;;;;;;;;;;;;;;;;;;;;Night Cough Fastgels;;;;;;;;;;;;;;;;;;;;;;;;;;;ANES;;;;;;;;;;;;;;;;;;;;;;;Rynatuss;;;;;;;;;;;;;;CETAMADOLE SEMI;;;;;;;;
;;;;MAC DUO;AMOCLZEN;;;;Ainuosi;;;;;;;;;;;;;;;;;;;;;;Nighttime Symptom Relief Extra Strength Symptoms Of Cold And Cough;;;;;;;;;;;;;;;;;;;;;;;;;;;BERO;;;;;;;;;;;;;;;;;;;;;;;Spec-T Sore Throat/Decongestant;;;;;;;;;;;;;;FINEMI;;;;;;;;
;;;;NEWAMLOS;AMOMENTIN;;;;Daweiping;;;;;;;;;;;;;;;;;;;;;;Insomnal;;;;;;;;;;;;;;;;;;;;;;;;;;;DERMACAIN;;;;;;;;;;;;;;;;;;;;;;;Xpect PE;;;;;;;;;;;;;;HIGH-CONTI;;;;;;;;
;;;;NOBDIPINE S;AMOTAX;;;;Lilikai;;;;;;;;;;;;;;;;;;;;;;Junior Strength Allergy;;;;;;;;;;;;;;;;;;;;;;;;;;;EMBICAINE;;;;;;;;;;;;;;;;;;;;;;;Rhinabid PD;;;;;;;;;;;;;;HYCEPHEN;;;;;;;;
;;;;NOVADIC;AMOXKLIN DUO;;;;Xisiqi;;;;;;;;;;;;;;;;;;;;;;Pulmorex Dm;;;;;;;;;;;;;;;;;;;;;;;;;;;PRIDOCAINE;;;;;;;;;;;;;;;;;;;;;;;G Phen DM;;;;;;;;;;;;;;HYPERCET SEMI;;;;;;;;
;;;;NOVAKIM;ARI ACICLAN DUO;;;;BC Headache;;;;;;;;;;;;;;;;;;;;;;Salonpas Plaster;;;;;;;;;;;;;;;;;;;;;;;;;;;RIFRIL;;;;;;;;;;;;;;;;;;;;;;;Sudafed PE Severe Cold;;;;;;;;;;;;;;PAINLESS SEMI;;;;;;;;
;;;;OLMECFORCE H;AUGMEN;;;;Ecpirin;;;;;;;;;;;;;;;;;;;;;;Regular Strength Flu Relief Nightime;;;;;;;;;;;;;;;;;;;;;;;;;;;SUNGKWANG RIDOAR;;;;;;;;;;;;;;;;;;;;;;;Levall-12;;;;;;;;;;;;;;SUPERCET;;;;;;;;
;;;;OLOMAX;CLACILLIN NEO;;;;Alka-Seltzer Plus Night Cold;;;;;;;;;;;;;;;;;;;;;;Pms-Diphenhydramine;;;;;;;;;;;;;;;;;;;;;;;;;;;Peranex;;;;;;;;;;;;;;;;;;;;;;;Pulmari;;;;;;;;;;;;;;TARAMADOL;;;;;;;;
;;;;RODISTAR;CLAMO;;;;Pamprin Max Formula;;;;;;;;;;;;;;;;;;;;;;Sting Eze;;;;;;;;;;;;;;;;;;;;;;;;;;;Anamantle HC;;;;;;;;;;;;;;;;;;;;;;;Crantex HC;;;;;;;;;;;;;;LANOPHEN SEMI;;;;;;;;
;;;;ROSARBESYL;CLAMOXEN DUO;;;;Bayer Aspirin PM;;;;;;;;;;;;;;;;;;;;;;Sleep Eze D;;;;;;;;;;;;;;;;;;;;;;;;;;;Solarcaine;;;;;;;;;;;;;;;;;;;;;;;Alenaze-D;;;;;;;;;;;;;;MARITROL;;;;;;;;
;;;;ROSASKA;CRACIZEN DUO;;;;Rid-A-Pain;;;;;;;;;;;;;;;;;;;;;;Sleepaid Extra Strength;;;;;;;;;;;;;;;;;;;;;;;;;;;Duocaine;;;;;;;;;;;;;;;;;;;;;;;Rindal HPD;;;;;;;;;;;;;;PARAMACET;;;;;;;;
;;;;SAMVIKAR;CURAMUS;;;;Bayer Aspirin PM Reformulated Nov 2011;;;;;;;;;;;;;;;;;;;;;;Mucinex Fast-Max Cold & Flu Nighttime;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidamantle HC;;;;;;;;;;;;;;;;;;;;;;;Tri-Gestan S;;;;;;;;;;;;;;RAPICET;;;;;;;;
;;;;SEVIDUO HCT;CURAMUS DUO;;;;Acetylsalicylsaeure Injeele;;;;;;;;;;;;;;;;;;;;;;Pediacare Nighttime Multi-Symptom Cold;;;;;;;;;;;;;;;;;;;;;;;;;;;Zilactin-L;;;;;;;;;;;;;;;;;;;;;;;Notuss PD;;;;;;;;;;;;;;TAMITRA;;;;;;;;
;;;;SEVITHERA HCT;DUCRA DUO;;;;Anti Opt;;;;;;;;;;;;;;;;;;;;;;Dalay;;;;;;;;;;;;;;;;;;;;;;;;;;;Pro Vent Plus;;;;;;;;;;;;;;;;;;;;;;;VaZol D;;;;;;;;;;;;;;TANDOL;;;;;;;;
;;;;SKADBI(B);HYCRA DUO;;;;Aneucod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rectacreame;;;;;;;;;;;;;;;;;;;;;;;Donatussin MAX;;;;;;;;;;;;;;BEARCET SEMI;;;;;;;;
;;;;TELLAPINE;LAMOCLA DUO;;;;Aspirin Forte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lignostab-A;;;;;;;;;;;;;;;;;;;;;;;Tritan;;;;;;;;;;;;;;ELIFEN;;;;;;;;
